Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority
AB1 0HR,No,57.10814,-2.225082,386465,801931,NJ864019,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",,66,,S01006513,
AB1 0HS,No,57.112646,-2.222104,386647,802432,NJ866024,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible rural area",,78,,S01006516,
AB1 0HT,No,57.106974,-2.219214,386820,801800,NJ868018,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible small town",,56,,S01006516,
AB1 0HU,No,57.10764,-2.233317,385966,801877,NJ859018,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",,76,,S01006513,
AB1 0HX,No,57.112536,-2.218603,386859,802419,NJ868024,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible rural area",,65,,S01006516,
AB1 0JA,No,57.108719,-2.228123,386281,801996,NJ862019,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",,72,,S01006515,
AB1 0JB,No,57.108657,-2.232399,386022,801990,NJ860019,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",,75,,S01006515,
AB1 0JD,No,57.109681,-2.232554,386013,802104,NJ860021,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",,77,,S01006515,
AB1 0JE,No,57.108882,-2.236891,385750,802016,NJ857020,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",,82,,S01006515,
AB1 0JG,No,57.110831,-2.237085,385739,802233,NJ857022,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1990-06-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",,96,,S01006515,
AB1 0JH,No,57.110886,-2.231637,386069,802238,NJ860022,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",,80,,S01006515,
AB1 0JJ,No,57.11041,-2.231601,386071,802185,NJ860021,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",,78,,S01006515,
AB1 0JL,No,57.112907,-2.236916,385750,802464,NJ857024,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",,109,,S01006515,
AB1 0JN,No,57.110701,-2.244002,385320,802220,NJ853022,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-07-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible rural area",,100,,S01006515,
AB1 0JP,No,57.106698,-2.222927,386595,801770,NJ865017,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible small town",,54,,S01006516,
AB1 0JQ,No,57.105644,-2.219487,386803,801652,NJ868016,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible small town",,44,,S01006516,
AB1 0JR,No,57.105041,-2.219962,386774,801585,NJ867015,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible small town",,39,,S01006516,
AB1 0JS,No,57.106231,-2.223106,386584,801718,NJ865017,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible small town",,51,,S01006516,
AB1 0JT,No,57.110772,-2.234988,385866,802226,NJ858022,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1985-11-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",,88,,S01006515,
AB1 0JU,No,57.112005,-2.234087,385921,802363,NJ859023,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1985-11-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",,96,,S01006515,
AB1 0JW,No,57.111382,-2.235487,385836,802294,NJ858022,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1985-11-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",,94,,S01006515,
AB1 0JX,No,57.111112,-2.235716,385822,802264,NJ858022,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1990-09-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",,93,,S01006515,
AB1 0JY,No,57.110198,-2.239244,385608,802163,NJ856021,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1990-06-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",,96,,S01006515,
AB1 0JZ,No,57.110642,-2.237447,385717,802212,NJ857022,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1990-06-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 03","Accessible small town",,95,,S01006515,
